City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
399,salalah,17.0151,54.0924,22.05,73,0,2.57,OM
400,saint-georges,12.0564,-61.7485,25.82,73,20,7.72,GD
401,waipawa,-41.4122,175.5153,17.23,60,39,1.54,NZ
402,itoman,26.1247,127.6694,18.01,68,20,2.06,JP
403,saint-michel-des-saints,46.6834,-73.9159,-12.26,88,98,3.51,CA
404,bambous virieux,-20.3428,57.7575,23.45,88,20,1.54,MU
405,rocha,-34.4833,-54.3333,10.65,86,98,2.67,UY
406,anklam,53.8564,13.6897,7.25,70,93,13.78,DE
407,rio cuarto,-33.1307,-64.3499,14.87,25,20,6.69,AR
408,itarema,-2.9248,-39.9167,25.47,87,99,4.42,BR
409,stornoway,58.2093,-6.3865,4.4,89,40,0.51,GB
410,powell river,49.8496,-124.5361,7.0,75,75,2.06,CA
411,praya,14.9215,-23.5087,20.3,77,75,8.23,CV
412,ljubuski,43.1969,17.545,7.68,89,17,0.96,BA
413,springfield,37.2153,-93.2982,6.05,38,0,4.12,US
414,bjornevatn,69.6672,29.9847,-0.21,86,75,6.69,NO
415,maketu,-37.7667,176.45,23.25,49,41,2.55,NZ
416,olafsvik,64.8945,-23.7142,-0.33,72,90,3.86,IS
417,majene,-3.5403,118.9707,25.76,81,78,2.28,ID
418,gaya,24.7833,85.0,16.29,47,0,1.04,IN
419,sangmelima,2.9333,11.9833,19.58,52,65,1.08,CM
420,sorland,67.667,12.6934,2.92,68,100,7.69,NO
